Logga;Filnamn;Bredd;Höjd;MP;Format;Transparent;Transparent_pct;SemiTrans_pct;AA_ratio;Unika_farger;Platthet_pct;Kvant_16;Sobel_30;Sobel_50;Sobel_100;Avg_gradient;Laplacian_var;Entropi;Kontrast;Forvantat_GPT2
Cantagalo Logo;Cantagalo Logo.png;348;310;0.108;PNG;Ja;38.1;0.0;0.0;27707;74.32;16;35.8;33.4;29.5;11.16;4214.4;4.76;64.4;
Chicago Blues FC;Chicago Blues FC.png;293;298;0.087;PNG;Nej;0;0;0;2242;97.43;16;26.6;24.9;20.9;9.52;5445.6;3.55;96.7;
Hammarby IF;Hammarby IF.png;313;320;0.1;PNG;Ja;36.9;43.71;7.54;3948;96.06;16;29.7;27.5;25.1;9.88;3800.3;4.46;95.8;
Kumla_Hockey_logo.svg;Kumla_Hockey_logo.svg.png;1920;1920;3.686;PNG;Ja;23.4;0.17;0.52;6606;99.82;16;6.7;5.9;5.3;2.36;1199.2;2.18;100.0;
leopards;leopards.jpg;224;224;0.05;JPG;Nej;0;0;0;5774;88.49;16;12.3;10.2;8.3;4.63;1722.5;1.77;33.0;
special_knivstais-hockey;special_knivstais-hockey.jpg;980;150;0.147;JPG;Nej;0;0;0;3041;97.93;16;5.5;4.0;2.8;1.48;540.3;1.95;19.1;
team_usa;team_usa.jpeg;626;626;0.392;JPEG;Nej;0;0;0;14088;96.4;16;10.0;8.6;6.3;3.13;1214.3;4.35;104.4;
Trollbäckens GK;Trollbäckens GK.jpg;400;302;0.121;JPG;Nej;0;0;0;6726;94.43;16;11.0;10.2;9.0;4.74;1933.5;3.05;74.7;
Tyresö FF;Tyresö FF.png;460;320;0.147;PNG;Ja;14.0;38.9;29.58;17042;88.42;15;22.3;20.0;16.2;5.8;819.2;4.87;61.8;
Warner;Warner.png;1104;1097;1.211;PNG;Ja;0.0;0.0;0;22923;98.11;16;10.3;9.0;7.1;3.89;1644.9;2.39;101.1;
